experiment,subject_num,fam_duration,age,sex,SubjectInfo.sessionNumber,fam_or_test,test_type,animal,Trials.ordinal,Looks.confidence,Trials.duration,Trials.excludeTrial,Trials.excludeReason,LT,block_num,exclude,is_violation
7,PKBB_43,9,275,F,1,test,pose,5,5,0.5669401619816719,36.454,False,,29.29499999999999,3,FALSE,TRUE
7,PKBB_44,8,233,F,1,test,pose,1,5,0.6287966623562603,38.076,False,,36.68,3,FALSE,TRUE
7,PKBB_44,8,233,F,1,test,background,5,7,0.7992901355439491,34.168,False,,29.081000000000003,4,FALSE,FALSE
7,PKBB_44,9,233,F,1,test,identity,3,1,0.7242956923242387,13.532,False,,12.312,1,FALSE,TRUE
7,PKBB_44,9,233,F,1,test,animacy,2,3,0.6333662677008032,60,False,,54.24800000000001,2,FALSE,TRUE
7,PKBB_45,8,299,F,1,test,background,1,1,0.2095191465182737,60,False,,3.3930000000000007,1,FALSE,FALSE
7,PKBB_45,8,299,F,1,test,animacy,3,7,0.7103556267311328,45.856,False,,45.856,4,FALSE,TRUE
7,PKBB_45,9,299,F,1,test,pose,4,3,0.7774130876842601,60,False,,60,2,FALSE,TRUE
7,PKBB_45,9,299,F,1,test,number,2,5,0.7339229171748719,53.089,False,,53.089,3,FALSE,TRUE
7,PKBB_46,8,267,M,1,test,pose,2,1,0.7171531790462393,60,False,,56.37300000000001,1,FALSE,TRUE
7,PKBB_46,8,267,M,1,test,background,6,5,0.8813026057602116,60.083,False,,16.421,3,FALSE,FALSE
7,PKBB_46,9,267,M,1,test,number,5,3,0.7521608553017354,60,False,,59.482,2,FALSE,TRUE
7,PKBB_46,9,267,M,1,test,animacy,1,7,0.7273662621173195,60,False,,4.302999999999997,4,FALSE,TRUE
7,PKBB_48,8,303,M,1,test,number,6,1,0.8183123621395869,36.438,False,,9.568000000000008,1,FALSE,TRUE
7,PKBB_48,9,303,M,1,test,identity,1,3,0.92203102066557,13.648,False,,13.648,2,FALSE,TRUE
7,PKBB_49,8,268,M,1,test,animacy,6,5,NA,19.375,False,,19.375,3,FALSE,TRUE
7,PKBB_49,8,268,M,1,test,identity,3,7,NA,18.539,False,,18.539,4,FALSE,TRUE
7,PKBB_49,9,268,M,1,test,background,2,1,0.3909770359634345,10.595,False,,8.559000000000001,1,FALSE,FALSE
