SubjectInfo.age_at_birth,sex,SubjectInfo.language_list,subject_num,age,SubjectInfo.sessionNumber,fam_or_test,violation_type,fam_duration,Trials.ordinal,Looks.confidence,Trials.duration,exclude,Trials.excludeReason,LT,is_violation,block_num
40 or more weeks,f,en,LXBASS,313,1,test,number,fam8,1,0.7212927627840933,40.228,FALSE,NA,19.125,TRUE,1
40 or more weeks,f,en,LXBASS,313,1,test,pose,fam8,3,0.6253337466198465,40.165,FALSE,NA,4.269999999999996,TRUE,2
40 or more weeks,f,en,LXBASS,313,1,test,identity,fam9,5,0.808583214879036,40.176,FALSE,NA,30.592,TRUE,3
40 or more weeks,f,en,LXBASS,313,1,test,background,fam9,7,NA,40.234,FALSE,NA,3.6789999999999954,FALSE,4
40 or more weeks,f,en,MP2T2L,336,1,test,number,fam8,1,0.9000253550988615,40.232,FALSE,NA,12.176000000000002,TRUE,1
40 or more weeks,f,en,MP2T2L,336,1,test,pose,fam9,3,0.7425309681945667,40.202,FALSE,NA,3.857999999999997,TRUE,2
40 or more weeks,f,en,MP2T2L,336,1,test,background,fam9,5,0.5735810344324699,40.187,FALSE,NA,21.38000000000001,FALSE,3
40 or more weeks,f,en,MP2T2L,336,1,test,animacy,fam9,7,0.7316835664350831,40.279,FALSE,NA,13.838999999999992,TRUE,4
40 or more weeks,f,en cmn,N2MJ27,308,1,test,animacy,fam8,1,0.610624678413706,40.107,FALSE,NA,38.431,TRUE,1
40 or more weeks,f,en cmn,N2MJ27,308,1,test,pose,fam9,3,0.5105407355603767,40.207,FALSE,NA,7.966000000000005,TRUE,2
40 or more weeks,f,en cmn,N2MJ27,308,1,test,number,fam8,5,0.9595899453909694,40.247,FALSE,NA,17.563999999999997,TRUE,3
40 or more weeks,f,en cmn,N2MJ27,308,1,test,background,fam8,7,0.4686155285627122,40.163,FALSE,NA,34.376,FALSE,4
40 or more weeks,f,en fr es,NDBKW5,369,1,test,animacy,fam8,1,0.7747098231560993,40.109,FALSE,NA,29.44500000000001,TRUE,1
40 or more weeks,f,en fr es,NDBKW5,369,1,test,number,fam9,3,0.3036981969726376,40.217,FALSE,NA,20.907,TRUE,2
40 or more weeks,f,en fr es,NDBKW5,369,1,test,pose,fam8,5,0.31422457336777393,40.153,FALSE,NA,3.7569999999999983,TRUE,3
40 or more weeks,f,en fr es,NDBKW5,369,1,test,background,fam9,7,NA,0.05,TRUE,total on-look time in trial is less than the minimum cumulative duration (min_durationOn),0,FALSE,4
