trial_number,fam_duration,trial_type,mean_lt,count.x,sd_lt,ub_lt,lb_lt,param_id,count.y,sd_sample,mean_sample,ub_sample,lb_sample,scaled_samples,scaled_lb,scaled_ub,type
8,8,Familiar,1866.9094707520892,718,1487.548698787048,1975.7185265377868,1758.1004149663916,127,248,21.94322818451959,1.9838709677419355,2.1204238132871147,1.8473181221967565,2296.0834690713405,2296.0834690576853,2296.0834690849956,No Learning
8,9,Familiar,1997.8723098995695,697,1729.2312904288567,2126.250949069688,1869.4936707294507,127,248,21.94322818451959,1.9838709677419355,2.1204238132871147,1.8473181221967565,2296.0834690713405,2296.0834690576853,2296.0834690849956,No Learning
8,10,Familiar,1892.558988764045,712,1502.3906273263353,2002.915748438328,1782.2022290897619,127,248,21.94322818451959,1.9838709677419355,2.1204238132871147,1.8473181221967565,2296.0834690713405,2296.0834690576853,2296.0834690849956,No Learning
9,8,Familiar,2069.9646464646466,198,2146.6944708150827,2368.980155127924,1770.9491378013695,127,173,19.14893153539822,2.0401734104046243,2.1828483083310877,1.897498512478161,2296.0834690769707,2296.083469062703,2296.083469091238,No Learning
9,8,Novel,2768.987525987526,481,2328.6984597647547,2977.099366031234,2560.8756859438186,127,36,8.802063155276363,2.109722222222222,2.253489253758403,1.9659551906860415,2296.0834690839256,2296.0834690695488,2296.0834690983024,No Learning
9,9,Familiar,1953.493543758967,697,1702.8883695556872,2079.9164767420752,1827.0706107758588,127,173,19.14893153539822,2.0401734104046243,2.1828483083310877,1.897498512478161,2296.0834690769707,2296.083469062703,2296.083469091238,No Learning
9,10,Familiar,1899.0590717299579,711,1665.94686671058,2021.5157337336418,1776.602409726274,127,173,19.14893153539822,2.0401734104046243,2.1828483083310877,1.897498512478161,2296.0834690769707,2296.083469062703,2296.083469091238,No Learning
10,9,Familiar,2368.9305555555557,144,2053.0974336516088,2704.269803051985,2033.5913080591263,127,104,13.7171617441725,1.9677884615384615,2.099606142108752,1.835970780968171,2296.083469069732,2296.0834690565503,2296.083469082914,No Learning
10,9,Novel,2739.4003944773176,507,2214.9149430576517,2932.201333528753,2546.5994554258823,127,35,8.426774371952146,1.9428571428571428,2.0824468574533572,1.803267428260928,2296.083469067239,2296.08346905328,2296.083469081198,No Learning
10,10,Familiar,1935.4424157303372,712,1732.7524990953034,2062.72020064169,1808.1646308189843,127,104,13.7171617441725,1.9677884615384615,2.099606142108752,1.835970780968171,2296.083469069732,2296.0834690565503,2296.083469082914,No Learning
11,10,Familiar,2023.0819672131147,244,1886.103074614042,2259.74290506043,1786.421029365799,127,35,9.13250412422285,2.0442857142857145,2.195565858737203,1.8930055698342263,2296.083469077382,2296.0834690622537,2296.08346909251,No Learning
11,10,Novel,2717.3333333333335,429,2154.215245871492,2921.186057945903,2513.480608720764,127,32,7.730493277649848,1.9890625,2.122986463354309,1.855138536645691,2296.0834690718593,2296.083469058467,2296.083469085252,No Learning
1,1,Familiar,3005.621582733813,695,2291.0095667587684,3175.951357358883,2835.2918081087428,128,800,39.28750303514902,1.9728125,2.108936753079001,1.8366882469209995,2295.0777683225874,2295.077768308975,2295.0777683362,No Learning
1,2,Familiar,3196.1531914893617,705,2499.492785892031,3380.6604264268967,3011.6459565518267,128,800,39.28750303514902,1.9728125,2.108936753079001,1.8366882469209995,2295.0777683225874,2295.077768308975,2295.0777683362,No Learning
1,3,Familiar,3181.7808823529413,680,2597.3608856825126,3377.0051988995097,2986.556565806373,128,800,39.28750303514902,1.9728125,2.108936753079001,1.8366882469209995,2295.0777683225874,2295.077768308975,2295.0777683362,No Learning
1,4,Familiar,3105.692200557103,718,2400.2024684983694,3281.2587312560727,2930.1256698581337,128,800,39.28750303514902,1.9728125,2.108936753079001,1.8366882469209995,2295.0777683225874,2295.077768308975,2295.0777683362,No Learning
1,5,Familiar,3105.750333778371,749,2302.862777865781,3270.6740919540757,2940.8265756026663,128,800,39.28750303514902,1.9728125,2.108936753079001,1.8366882469209995,2295.0777683225874,2295.077768308975,2295.0777683362,No Learning
1,6,Familiar,3318.780337941628,651,2674.353790411757,3524.220068426134,3113.3406074571226,128,800,39.28750303514902,1.9728125,2.108936753079001,1.8366882469209995,2295.0777683225874,2295.077768308975,2295.0777683362,No Learning
1,7,Familiar,3221.9195906432747,684,2443.906629623051,3405.0719974056683,3038.767183880881,128,800,39.28750303514902,1.9728125,2.108936753079001,1.8366882469209995,2295.0777683225874,2295.077768308975,2295.0777683362,No Learning
1,8,Familiar,3200.197202797203,715,2485.7905604367215,3382.405263135308,3017.989142459098,128,800,39.28750303514902,1.9728125,2.108936753079001,1.8366882469209995,2295.0777683225874,2295.077768308975,2295.0777683362,No Learning
1,9,Familiar,3326.7789017341042,692,2656.0982556767217,3524.6795244455075,3128.878279022701,128,800,39.28750303514902,1.9728125,2.108936753079001,1.8366882469209995,2295.0777683225874,2295.077768308975,2295.0777683362,No Learning
1,10,Familiar,3092.8990042674254,703,2552.5073388447986,3281.5874939480896,2904.2105145867613,128,800,39.28750303514902,1.9728125,2.108936753079001,1.8366882469209995,2295.0777683225874,2295.077768308975,2295.0777683362,No Learning
2,1,Familiar,2195.079207920792,202,1827.8110426478006,2447.143706841022,1943.0147090005623,128,726,37.12326550972132,1.9760330578512395,2.1110548713709143,1.841011244331565,2295.0777683229094,2295.0777683094075,2295.0777683364117,No Learning
2,1,Novel,2700.1493506493507,462,2309.561663482722,2910.752395408956,2489.5463058897453,128,37,8.368015547937654,1.941891891891892,2.0767098335118623,1.8070739502719213,2295.0777683194956,2295.0777683060137,2295.077768332977,No Learning
2,2,Familiar,2159.1156558533144,709,1835.2540905826393,2294.207507528405,2024.0238041782234,128,726,37.12326550972132,1.9760330578512395,2.1110548713709143,1.841011244331565,2295.0777683229094,2295.0777683094075,2295.0777683364117,No Learning
2,3,Familiar,2113.1686217008796,682,1773.410870864228,2246.2671490643916,1980.070094337368,128,726,37.12326550972132,1.9760330578512395,2.1110548713709143,1.841011244331565,2295.0777683229094,2295.0777683094075,2295.0777683364117,No Learning
2,4,Familiar,2175.36,725,2067.112119660813,2325.8304089712365,2024.8895910287636,128,726,37.12326550972132,1.9760330578512395,2.1110548713709143,1.841011244331565,2295.0777683229094,2295.0777683094075,2295.0777683364117,No Learning
2,5,Familiar,2095.1786666666667,750,1738.581909916299,2219.607375937192,1970.7499573961413,128,726,37.12326550972132,1.9760330578512395,2.1110548713709143,1.841011244331565,2295.0777683229094,2295.0777683094075,2295.0777683364117,No Learning
2,6,Familiar,2215.7747336377474,657,1834.4491641261354,2356.0493429373873,2075.5001243381075,128,726,37.12326550972132,1.9760330578512395,2.1110548713709143,1.841011244331565,2295.0777683229094,2295.0777683094075,2295.0777683364117,No Learning
2,7,Familiar,2252.2419825072884,686,2093.965498579715,2408.9400120154996,2095.543952999077,128,726,37.12326550972132,1.9760330578512395,2.1110548713709143,1.841011244331565,2295.0777683229094,2295.0777683094075,2295.0777683364117,No Learning
